2025-12-07 20:28:33,267 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:28:33,359 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:28:33,453 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:28:33,542 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
2025-12-07 20:28:33,638 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
2025-12-07 20:28:33,732 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
2025-12-07 20:28:33,822 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
2025-12-07 20:28:33,921 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
2025-12-07 20:28:34,017 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
2025-12-07 20:28:34,113 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
2025-12-07 20:28:34,207 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
2025-12-07 20:28:34,304 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
2025-12-07 20:28:34,396 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
2025-12-07 20:28:54,182 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:28:54,197 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:28:54,301 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:28:54,314 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:28:54,418 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:28:54,431 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:28:54,530 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:28:54,545 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:28:54,658 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:28:54,671 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:28:54,772 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:28:54,786 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:28:54,897 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:28:54,916 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:28:55,016 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:28:55,030 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:28:55,132 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:28:55,146 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:28:55,316 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:28:55,333 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:28:55,395 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:28:55,505 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:28:55,597 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:28:55,687 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
