Result_ID,Sensitivity,Country,Year,Tech,Availability,LCOE,Cost,Solar_Capacity_MW,BESS_Energy_MWh
105,DR=0.08_LT=25,Australia,2017,Gas,0.1,196.50771141537246,1355169.9999999998,,
106,Default,Australia,2018,Gas,0.1,183.90565304392558,1355169.9999999998,,
107,DR=0.08_LT=25,Australia,2018,Gas,0.1,209.50152545046015,1355169.9999999998,,
108,Default,Australia,2019,Gas,0.1,163.41594953515366,1355169.9999999998,,
109,DR=0.08_LT=25,Australia,2019,Gas,0.1,189.01182194168825,1355169.9999999998,,
110,Default,Australia,2020,Gas,0.1,155.47410392111857,1355169.9999999998,,
111,DR=0.08_LT=25,Australia,2020,Gas,0.1,181.06997632765314,1355169.9999999998,,
112,Default,Australia,2021,Gas,0.1,230.4886635702414,1355169.9999999998,,
113,DR=0.08_LT=25,Australia,2021,Gas,0.1,256.0845359767759,1355169.9999999998,,
114,Default,Australia,2022,Gas,0.1,358.75596181585547,1355169.9999999998,,
115,DR=0.08_LT=25,Australia,2022,Gas,0.1,384.35183422239,1355169.9999999998,,
116,Default,Australia,2023,Gas,0.1,213.7290407632238,1355169.9999999998,,
117,DR=0.08_LT=25,Australia,2023,Gas,0.1,239.3249131697584,1355169.9999999998,,
118,Default,Australia,2024,Gas,0.1,201.90163199129404,1355169.9999999998,,
119,DR=0.08_LT=25,Australia,2024,Gas,0.1,227.4975043978286,1355169.9999999998,,
120,Default,Australia,2024,Solar+BESS,0.15,25.66,583327.4115200001,0.6,0.0
121,DR=0.08_LT=25,Australia,2024,Solar+BESS,0.15,41.59,583327.4115200001,0.6,0.0
122,Default,Australia,2015,Solar+BESS,0.15,66.78,1645551.79754,0.6,0.0
123,DR=0.08_LT=25,Australia,2015,Solar+BESS,0.15,111.71,1645551.79754,0.6,0.0
124,Default,Australia,2016,Solar+BESS,0.15,57.93,1416917.1129400001,0.6,0.0
125,DR=0.08_LT=25,Australia,2016,Solar+BESS,0.15,96.61,1416917.1129400001,0.6,0.0
126,Default,Australia,2017,Solar+BESS,0.15,59.2,1449667.48668,0.6,0.0
127,DR=0.08_LT=25,Australia,2017,Solar+BESS,0.15,98.78,1449667.48668,0.6,0.0
128,Default,Australia,2018,Solar+BESS,0.15,46.38,1118456.1598,0.6,0.0
129,DR=0.08_LT=25,Australia,2018,Solar+BESS,0.15,76.91,1118456.1598,0.6,0.0
130,Default,Australia,2019,Solar+BESS,0.15,38.7,920100.12262,0.6,0.0
131,DR=0.08_LT=25,Australia,2019,Solar+BESS,0.15,63.82,920100.12262,0.6,0.0
132,Default,Australia,2020,Solar+BESS,0.15,32.93,771178.61184,0.6,0.0
133,DR=0.08_LT=25,Australia,2020,Solar+BESS,0.15,53.99,771178.61184,0.6,0.0
134,Default,Australia,2021,Solar+BESS,0.15,30.88,718036.49596,0.6,0.0
135,DR=0.08_LT=25,Australia,2021,Solar+BESS,0.15,50.48,718036.49596,0.6,0.0
136,Default,Australia,2022,Solar+BESS,0.15,26.52,605572.9484000001,0.6,0.0
137,DR=0.08_LT=25,Australia,2022,Solar+BESS,0.15,43.06,605572.9484000001,0.6,0.0
138,Default,Australia,2023,Solar+BESS,0.15,27.29,625346.75896,0.6,0.0
139,DR=0.08_LT=25,Australia,2023,Solar+BESS,0.15,44.36,625346.75896,0.6,0.0
140,Default,Australia,2015,Coal,0.15,119.61218600025626,1690307.1428571434,,
141,DR=0.08_LT=25,Australia,2015,Coal,0.15,169.56734817312508,1690307.1428571434,,
142,Default,Australia,2016,Coal,0.15,121.75631390723298,1690307.1428571434,,
143,DR=0.08_LT=25,Australia,2016,Coal,0.15,171.71147608010182,1690307.1428571434,,
144,Default,Australia,2017,Coal,0.15,130.61203483746556,1690307.1428571434,,
145,DR=0.08_LT=25,Australia,2017,Coal,0.15,180.56719701033438,1690307.1428571434,,
146,Default,Australia,2018,Coal,0.15,122.58525576769811,1690307.1428571434,,
147,DR=0.08_LT=25,Australia,2018,Coal,0.15,172.54041794056693,1690307.1428571434,,
148,Default,Australia,2019,Coal,0.15,116.69440693048882,1690307.1428571434,,
149,DR=0.08_LT=25,Australia,2019,Coal,0.15,166.64956910335763,1690307.1428571434,,
150,Default,Australia,2020,Coal,0.15,113.38290925607019,1690307.1428571434,,
151,DR=0.08_LT=25,Australia,2020,Coal,0.15,163.33807142893903,1690307.1428571434,,
152,Default,Australia,2021,Coal,0.15,126.81667065141903,1690307.1428571434,,
153,DR=0.08_LT=25,Australia,2021,Coal,0.15,176.77183282428786,1690307.1428571434,,
154,Default,Australia,2022,Coal,0.15,158.64305809327954,1690307.1428571434,,
155,DR=0.08_LT=25,Australia,2022,Coal,0.15,208.59822026614833,1690307.1428571434,,
156,Default,Australia,2023,Coal,0.15,133.9104877444423,1690307.1428571434,,
157,DR=0.08_LT=25,Australia,2023,Coal,0.15,183.86564991731112,1690307.1428571434,,
158,Default,Australia,2024,Coal,0.15,128.96363948862836,1690307.1428571434,,
159,DR=0.08_LT=25,Australia,2024,Coal,0.15,178.91880166149716,1690307.1428571434,,
160,Default,Australia,2015,Gas,0.15,130.78099384214923,1355169.9999999998,,
161,DR=0.08_LT=25,Australia,2015,Gas,0.15,147.84490877983896,1355169.9999999998,,
162,Default,Australia,2016,Gas,0.15,119.28237629828956,1355169.9999999998,,
163,DR=0.08_LT=25,Australia,2016,Gas,0.15,136.34629123597932,1355169.9999999998,,
164,Default,Australia,2017,Gas,0.15,126.36764822811413,1355169.9999999998,,
165,DR=0.08_LT=25,Australia,2017,Gas,0.15,143.43156316580388,1355169.9999999998,,
166,Default,Australia,2018,Gas,0.15,139.36146226320184,1355169.9999999998,,
167,DR=0.08_LT=25,Australia,2018,Gas,0.15,156.4253772008916,1355169.9999999998,,
168,Default,Australia,2019,Gas,0.15,118.87175875442992,1355169.9999999998,,
169,DR=0.08_LT=25,Australia,2019,Gas,0.15,135.93567369211965,1355169.9999999998,,
170,Default,Australia,2020,Gas,0.15,110.92991314039483,1355169.9999999998,,
171,DR=0.08_LT=25,Australia,2020,Gas,0.15,127.99382807808456,1355169.9999999998,,
172,Default,Australia,2021,Gas,0.15,185.94447278951765,1355169.9999999998,,
173,DR=0.08_LT=25,Australia,2021,Gas,0.15,203.0083877272074,1355169.9999999998,,
174,Default,Australia,2022,Gas,0.15,314.2117710351317,1355169.9999999998,,
175,DR=0.08_LT=25,Australia,2022,Gas,0.15,331.2756859728214,1355169.9999999998,,
176,Default,Australia,2023,Gas,0.15,169.18484998250008,1355169.9999999998,,
177,DR=0.08_LT=25,Australia,2023,Gas,0.15,186.2487649201898,1355169.9999999998,,
178,Default,Australia,2024,Gas,0.15,157.35744121057024,1355169.9999999998,,
179,DR=0.08_LT=25,Australia,2024,Gas,0.15,174.42135614826,1355169.9999999998,,
180,Default,Australia,2024,Solar+BESS,0.2,25.66,777769.87888,0.8,0.0
181,DR=0.08_LT=25,Australia,2024,Solar+BESS,0.2,41.59,777769.87888,0.8,0.0
182,Default,Australia,2015,Solar+BESS,0.2,66.78,2194069.0545099997,0.8,0.0
183,DR=0.08_LT=25,Australia,2015,Solar+BESS,0.2,111.71,2194069.0545099997,0.8,0.0
184,Default,Australia,2016,Solar+BESS,0.2,57.93,1889222.80961,0.8,0.0
185,DR=0.08_LT=25,Australia,2016,Solar+BESS,0.2,96.61,1889222.80961,0.8,0.0
186,Default,Australia,2017,Solar+BESS,0.2,59.2,1932889.9744199999,0.8,0.0
187,DR=0.08_LT=25,Australia,2017,Solar+BESS,0.2,98.78,1932889.9744199999,0.8,0.0
188,Default,Australia,2018,Solar+BESS,0.2,46.38,1491274.8736999999,0.8,0.0
189,DR=0.08_LT=25,Australia,2018,Solar+BESS,0.2,76.91,1491274.8736999999,0.8,0.0
190,Default,Australia,2019,Solar+BESS,0.2,38.7,1226800.15853,0.8,0.0
191,DR=0.08_LT=25,Australia,2019,Solar+BESS,0.2,63.82,1226800.15853,0.8,0.0
192,Default,Australia,2020,Solar+BESS,0.2,32.93,1028238.14496,0.8,0.0
193,DR=0.08_LT=25,Australia,2020,Solar+BESS,0.2,53.99,1028238.14496,0.8,0.0
194,Default,Australia,2021,Solar+BESS,0.2,30.88,957381.99074,0.8,0.0
195,DR=0.08_LT=25,Australia,2021,Solar+BESS,0.2,50.48,957381.99074,0.8,0.0
196,Default,Australia,2022,Solar+BESS,0.2,26.52,807430.5946,0.8,0.0
197,DR=0.08_LT=25,Australia,2022,Solar+BESS,0.2,43.06,807430.5946,0.8,0.0
198,Default,Australia,2023,Solar+BESS,0.2,27.29,833795.6752399999,0.8,0.0
199,DR=0.08_LT=25,Australia,2023,Solar+BESS,0.2,44.36,833795.6752399999,0.8,0.0
200,Default,Australia,2015,Coal,0.2,96.2215848490294,1690307.1428571434,,
201,DR=0.08_LT=25,Australia,2015,Coal,0.2,133.687956478681,1690307.1428571434,,
202,Default,Australia,2016,Coal,0.2,98.36571275600613,1690307.1428571434,,
203,DR=0.08_LT=25,Australia,2016,Coal,0.2,135.83208438565777,1690307.1428571434,,
204,Default,Australia,2017,Coal,0.2,107.22143368623871,1690307.1428571434,,
205,DR=0.08_LT=25,Australia,2017,Coal,0.2,144.6878053158903,1690307.1428571434,,
206,Default,Australia,2018,Coal,0.2,99.19465461647125,1690307.1428571434,,
207,DR=0.08_LT=25,Australia,2018,Coal,0.2,136.66102624612287,1690307.1428571434,,
208,Default,Australia,2019,Coal,0.2,93.30380577926194,1690307.1428571434,,
209,DR=0.08_LT=25,Australia,2019,Coal,0.2,130.77017740891355,1690307.1428571434,,
210,Default,Australia,2020,Coal,0.2,89.99230810484335,1690307.1428571434,,
211,DR=0.08_LT=25,Australia,2020,Coal,0.2,127.45867973449495,1690307.1428571434,,
212,Default,Australia,2021,Coal,0.2,103.42606950019218,1690307.1428571434,,
213,DR=0.08_LT=25,Australia,2021,Coal,0.2,140.8924411298438,1690307.1428571434,,
214,Default,Australia,2022,Coal,0.2,135.25245694205265,1690307.1428571434,,
215,DR=0.08_LT=25,Australia,2022,Coal,0.2,172.71882857170428,1690307.1428571434,,
216,Default,Australia,2023,Coal,0.2,110.51988659321543,1690307.1428571434,,
217,DR=0.08_LT=25,Australia,2023,Coal,0.2,147.98625822286704,1690307.1428571434,,
218,Default,Australia,2024,Coal,0.2,105.57303833740148,1690307.1428571434,,
219,DR=0.08_LT=25,Australia,2024,Coal,0.2,143.0394099670531,1690307.1428571434,,
220,Default,Australia,2015,Gas,0.2,108.50889845178736,1355169.9999999998,,
221,DR=0.08_LT=25,Australia,2015,Gas,0.2,121.30683465505466,1355169.9999999998,,
222,Default,Australia,2016,Gas,0.2,97.01028090792771,1355169.9999999998,,
223,DR=0.08_LT=25,Australia,2016,Gas,0.2,109.808217111195,1355169.9999999998,,
224,Default,Australia,2017,Gas,0.2,104.0955528377523,1355169.9999999998,,
225,DR=0.08_LT=25,Australia,2017,Gas,0.2,116.89348904101956,1355169.9999999998,,
226,Default,Australia,2018,Gas,0.2,117.08936687283999,1355169.9999999998,,
227,DR=0.08_LT=25,Australia,2018,Gas,0.2,129.8873030761073,1355169.9999999998,,
228,Default,Australia,2019,Gas,0.2,96.59966336406805,1355169.9999999998,,
229,DR=0.08_LT=25,Australia,2019,Gas,0.2,109.39759956733535,1355169.9999999998,,
230,Default,Australia,2020,Gas,0.2,88.65781775003299,1355169.9999999998,,
231,DR=0.08_LT=25,Australia,2020,Gas,0.2,101.45575395330027,1355169.9999999998,,
232,Default,Australia,2021,Gas,0.2,163.6723773991558,1355169.9999999998,,
233,DR=0.08_LT=25,Australia,2021,Gas,0.2,176.47031360242306,1355169.9999999998,,
234,Default,Australia,2022,Gas,0.2,291.93967564476986,1355169.9999999998,,
235,DR=0.08_LT=25,Australia,2022,Gas,0.2,304.7376118480371,1355169.9999999998,,
236,Default,Australia,2023,Gas,0.2,146.91275459213824,1355169.9999999998,,
237,DR=0.08_LT=25,Australia,2023,Gas,0.2,159.7106907954055,1355169.9999999998,,
238,Default,Australia,2024,Gas,0.2,135.08534582020843,1355169.9999999998,,
239,DR=0.08_LT=25,Australia,2024,Gas,0.2,147.8832820234757,1355169.9999999998,,
240,Default,Australia,2024,Solar+BESS,0.25,25.68,973044.4256,1.0,0.0
241,DR=0.08_LT=25,Australia,2024,Solar+BESS,0.25,41.62,973044.4256,1.0,0.0
242,Default,Australia,2015,Solar+BESS,0.25,66.84,2744933.5862,1.0,0.0
243,DR=0.08_LT=25,Australia,2015,Solar+BESS,0.25,111.8,2744933.5862,1.0,0.0
244,Default,Australia,2016,Solar+BESS,0.25,57.98,2363549.6481999997,1.0,0.0
245,DR=0.08_LT=25,Australia,2016,Solar+BESS,0.25,96.7,2363549.6481999997,1.0,0.0
246,Default,Australia,2017,Solar+BESS,0.25,59.25,2418180.3203999996,1.0,0.0
247,DR=0.08_LT=25,Australia,2017,Solar+BESS,0.25,98.86,2418180.3203999996,1.0,0.0
248,Default,Australia,2018,Solar+BESS,0.25,46.42,1865688.9940000002,1.0,0.0
249,DR=0.08_LT=25,Australia,2018,Solar+BESS,0.25,76.98,1865688.9940000002,1.0,0.0
